"T000366" "T000844" "T001390" "T001684" "T010422" "T010499" "T010511" "T010593" "T010903" "T010910" "T011021" "T011155" "T011600" "T020108" "T020198" "T020686" "T021027" "T021379" "T021921" "T022004" "T022426" "T030259" "T030482" "T030739" "T030792" "T031050" "T031081" "T031126" "T031173" "T031309" "T031415" "T040027" "T040092" "T040134" "T040227" "T040407" "T040848" "T040912" "T040932" "T041496" "T041551" "T050360" "T050525" "T051007" "T051030" "T051039" "T051261" "T060509" "T061108" "T061164" "T061273" "T061475" "T070662" "T070778" "T071001" "T071067" "T071257" "T071299" "T071355" "T071394" "T071459" "T071540" "T080185" "T080474" "T080496" "T080760" "T080881" "T080992" "T081802" "T081875" "T081952" "T090059" "T090547" "T092087" "T092089" "T092215" "T100243" "T100349" "T100533" "T100676" "T100992" "T110379" "T110492" "T110792" "T970146" "T970191" "T970243" "T970600" "T970855" "T980065" "T980106" "T980282" "T980430" "T980682" "T990288" "T990447" "T990483" "T990504" "T990809" "T990852"
"GLYAT" "3360" "3155" "1729" "2710" "1107" "3066" "3442" "2437" "2007" "3435" "3603" "2587" "2846" "2684" "1613" "1056" "3233" "2105" "2217" "2551" "3008" "1907" "3149" "1056" "41" "2645" "2538" "1059" "2137" "2161" "1234" "1938" "3587" "1815" "3194" "2535" "1748" "933" "1283" "1420" "1375" "1323" "2560" "1940" "2119" "1350" "1834" "2806" "845" "3371" "2576" "2273" "3818" "1536" "1865" "1960" "271" "1315" "3180" "2558" "1297" "4104" "1330" "3758" "1624" "1845" "347" "3746" "552" "719" "4071" "2533" "1999" "4446" "1833" "2697" "3174" "4274" "1761" "2733" "3692" "1991" "3572" "2936" "1285" "2804" "3767" "2501" "1589" "1533" "2733" "1959" "1387" "2919" "1871" "2451" "1286" "2568" "414" "4259"
"NTHL1" "139" "182" "178" "208" "99" "327" "215" "193" "150" "190" "237" "104" "116" "322" "65" "73" "266" "242" "137" "320" "170" "252" "316" "278" "351" "380" "335" "100" "282" "321" "303" "505" "196" "108" "150" "85" "110" "109" "116" "746" "141" "196" "101" "149" "320" "200" "86" "312" "160" "186" "212" "115" "149" "122" "110" "156" "122" "147" "134" "258" "197" "159" "116" "255" "105" "231" "151" "162" "193" "307" "208" "179" "54" "320" "185" "173" "292" "163" "114" "181" "147" "415" "162" "144" "247" "215" "171" "116" "373" "269" "264" "392" "129" "143" "148" "159" "80" "126" "57" "216"
"NR1I3" "824" "362" "380" "566" "227" "710" "651" "619" "540" "702" "598" "348" "545" "757" "325" "522" "564" "757" "294" "614" "443" "476" "481" "279" "65" "525" "362" "251" "538" "432" "225" "349" "996" "422" "525" "466" "552" "198" "528" "276" "247" "283" "441" "364" "450" "395" "324" "595" "194" "623" "402" "467" "700" "340" "417" "320" "315" "291" "524" "576" "533" "630" "282" "475" "382" "486" "135" "713" "220" "360" "666" "449" "489" "878" "448" "484" "449" "921" "237" "689" "509" "537" "728" "826" "412" "527" "552" "297" "293" "327" "361" "374" "391" "523" "342" "271" "376" "346" "174" "1079"
"NCOA7" "391" "107" "732" "260" "876" "320" "168" "285" "1300" "499" "379" "303" "300" "287" "1195" "450" "193" "557" "191" "116" "562" "340" "454" "89" "216" "106" "477" "1786" "432" "121" "169" "82" "273" "496" "238" "366" "1401" "143" "1650" "212" "589" "137" "809" "1478" "344" "793" "1809" "212" "578" "306" "182" "229" "611" "940" "953" "206" "1098" "1182" "181" "124" "422" "263" "1584" "175" "2366" "928" "490" "279" "566" "954" "150" "594" "396" "178" "241" "247" "425" "814" "247" "834" "157" "107" "688" "315" "784" "395" "1598" "770" "326" "536" "1687" "173" "1512" "240" "958" "312" "850" "169" "873" "354"
"BCL6" "549" "122" "851" "386" "526" "183" "461" "263" "605" "908" "205" "455" "472" "234" "529" "873" "335" "1558" "184" "208" "654" "359" "636" "159" "409" "203" "686" "608" "429" "333" "345" "165" "664" "550" "252" "332" "798" "176" "484" "124" "548" "179" "700" "912" "862" "680" "891" "431" "530" "310" "305" "238" "342" "611" "764" "363" "943" "738" "306" "153" "300" "339" "606" "353" "973" "936" "579" "574" "605" "363" "428" "457" "316" "424" "262" "122" "605" "837" "367" "717" "549" "426" "754" "444" "642" "917" "1171" "808" "290" "597" "772" "226" "507" "396" "379" "571" "260" "325" "349" "629"
"CEBPD" "1121" "657" "1860" "1019" "1892" "2474" "688" "930" "1839" "1264" "1657" "1664" "1164" "2943" "1595" "1254" "1969" "3021" "529" "2824" "4099" "3117" "3258" "1226" "542" "1812" "3488" "2101" "3108" "1894" "1751" "1188" "1536" "3206" "638" "1476" "2865" "2168" "2638" "1527" "3152" "1717" "1532" "3118" "2846" "3227" "2516" "3586" "4263" "1564" "821" "450" "1055" "3902" "1885" "844" "1861" "2384" "927" "1759" "2630" "842" "1558" "1085" "1454" "3915" "2524" "1436" "2578" "2467" "958" "4009" "575" "2330" "1565" "545" "3642" "2192" "1224" "2268" "1237" "1634" "1816" "570" "4206" "1980" "2802" "2115" "2468" "4886" "5842" "2736" "1725" "1425" "3719" "2541" "878" "655" "2857" "1752"
"HAAO" "1966" "1456" "1395" "1979" "1147" "2214" "2253" "2428" "1756" "2320" "3012" "1649" "1915" "3386" "1765" "650" "2281" "1416" "1110" "2745" "1896" "2400" "2277" "1840" "575" "1966" "1598" "889" "1623" "1986" "915" "2069" "2119" "1404" "2136" "662" "2434" "651" "1400" "1121" "1205" "1323" "1837" "1641" "1889" "2025" "1080" "2278" "1021" "2002" "1584" "2044" "1900" "1548" "990" "1527" "685" "1318" "1799" "1785" "1745" "1695" "1109" "2471" "1329" "2126" "881" "1601" "1230" "848" "2056" "2341" "1083" "2989" "1257" "2267" "1714" "2055" "1175" "2184" "2455" "2140" "1805" "2144" "1201" "2232" "3079" "1344" "1442" "1743" "1613" "1915" "1073" "1894" "1321" "1855" "1125" "1738" "440" "2762"
"CYP4A11" "9639" "12112" "8907" "14920" "6607" "8108" "12797" "9754" "11910" "13336" "15342" "12002" "13970" "13464" "9235" "3086" "6747" "6764" "8495" "10854" "8866" "7954" "10781" "8397" "310" "6857" "9362" "6185" "7724" "10635" "5632" "5278" "12333" "7068" "10689" "6416" "14163" "3729" "7343" "1630" "7402" "6481" "13010" "11704" "11727" "6354" "6700" "9522" "4832" "17048" "10935" "11454" "9662" "4551" "8065" "11020" "666" "6398" "14192" "9990" "6641" "12355" "8158" "15115" "8753" "11432" "3375" "17238" "7130" "3854" "11225" "11133" "6244" "21730" "6238" "12082" "11565" "11565" "8299" "10379" "13393" "6220" "14276" "14228" "9623" "16012" "18547" "9168" "7879" "6714" "6586" "7407" "9820" "10537" "4524" "9238" "7303" "8683" "1350" "14997"
"CYP27A1" "4969" "5461" "5551" "5332" "3363" "6283" "6689" "7769" "6514" "6118" "7124" "4101" "5754" "7126" "4800" "1224" "5687" "3001" "4703" "4876" "5128" "4938" "7168" "3910" "2974" "4326" "3951" "5316" "4385" "5095" "1681" "2147" "4677" "3837" "7354" "4082" "5060" "1898" "5249" "3646" "2919" "3222" "5256" "5909" "4802" "6234" "3709" "4412" "2477" "5800" "4386" "4902" "6643" "4910" "3319" "3490" "4692" "3750" "4614" "4774" "4207" "5275" "3401" "6009" "3287" "5319" "2415" "6666" "4407" "3469" "5781" "5970" "5061" "7381" "4382" "6225" "5710" "6372" "4945" "7028" "6704" "5123" "5652" "7202" "5200" "4736" "7498" "3636" "4165" "3170" "4051" "3235" "3818" "3786" "2647" "4063" "4466" "5017" "1597" "6504"
"ETNK2" "1647" "1342" "1220" "1843" "729" "2548" "1990" "2109" "1374" "2971" "2413" "1288" "1721" "1480" "739" "489" "1991" "1325" "1758" "1185" "2305" "1566" "2174" "730" "643" "1164" "1682" "824" "1385" "1602" "530" "1133" "1526" "1043" "2308" "1567" "950" "491" "803" "297" "1420" "773" "1278" "1332" "1207" "536" "833" "1869" "552" "2208" "1302" "1019" "1917" "953" "1161" "937" "373" "1315" "1476" "1738" "1665" "2540" "549" "3678" "672" "833" "223" "2203" "412" "365" "3085" "1509" "1957" "2040" "1526" "1727" "2104" "2577" "1174" "1860" "3892" "2970" "1480" "2199" "495" "1726" "2610" "1720" "1151" "755" "828" "972" "762" "2010" "1250" "1072" "959" "1796" "180" "2788"
